Year	Month	nino34	stdnino34
2005	1	27.39	0.554707379
2005	2	27.33	0.539440204
2005	3	27.89	0.681933842
2005	4	28.24	0.770992366
2005	5	28.41	0.814249364
2005	6	27.96	0.699745547
2005	7	27.22	0.511450382
2005	8	27.02	0.460559796
2005	9	26.9	0.430025445
2005	10	26.81	0.407124682
2005	11	26.34	0.287531807
2005	12	26.01	0.203562341
2006	1	25.91	0.178117048
2006	2	26.32	0.282442748
2006	3	26.83	0.41221374
2006	4	27.67	0.625954198
2006	5	27.96	0.699745547
2006	6	27.85	0.671755725
2006	7	27.42	0.562340967
2006	8	27.3	0.531806616
2006	9	27.45	0.569974555
2006	10	27.53	0.590330789
2006	11	27.79	0.65648855
2006	12	27.81	0.661577608
2007	1	27.44	0.567430025
2007	2	27.09	0.478371501
2007	3	27.37	0.549618321
2007	4	27.7	0.633587786
2007	5	27.71	0.636132316
2007	6	27.58	0.603053435
2007	7	27	0.455470738
2007	8	26.45	0.315521628
2007	9	26.01	0.203562341
2007	10	25.74	0.134860051
2007	11	25.58	0.094147583
2007	12	25.49	0.071246819
2008	1	25.21	0
2008	2	25.41	0.050890585
2008	3	26.27	0.269720102
2008	4	26.99	0.452926209
2008	5	27.25	0.519083969
2008	6	27.2	0.506361323
2008	7	27.05	0.468193384
2008	8	26.8	0.404580153
2008	9	26.63	0.361323155
2008	10	26.54	0.338422392
2008	11	26.42	0.307888041
2008	12	25.98	0.195928753
2009	1	25.8	0.150127226
2009	2	26.18	0.246819338
2009	3	26.96	0.445292621
2009	4	27.78	0.65394402
2009	5	28.16	0.750636132
2009	6	28.15	0.748091603
2009	7	27.86	0.674300254
2009	8	27.51	0.58524173
2009	9	27.5	0.582697201
2009	10	27.76	0.648854962
2009	11	28.11	0.737913486
2009	12	28.15	0.748091603
2010	1	27.97	0.702290076
2010	2	28	0.709923664
2010	3	28.24	0.770992366
2010	4	28.35	0.798982188
2010	5	27.97	0.702290076
2010	6	27.28	0.526717557
2010	7	26.52	0.333333333
2010	8	25.8	0.150127226
2010	9	25.45	0.061068702
2010	10	25.46	0.063613232
2010	11	25.46	0.063613232
2010	12	25.37	0.040712468
2011	1	25.24	0.007633588
2011	2	25.82	0.155216285
2011	3	26.59	0.351145038
2011	4	27.29	0.529262087
2011	5	27.62	0.613231552
2011	6	27.6	0.608142494
2011	7	27.1	0.480916031
2011	8	26.44	0.312977099
2011	9	26.08	0.221374046
2011	10	25.97	0.193384224
2011	11	25.86	0.165394402
2011	12	25.87	0.167938931
2012	1	25.93	0.183206107
2012	2	26.28	0.272264631
2012	3	26.92	0.435114504
2012	4	27.4	0.557251908
2012	5	27.64	0.618320611
2012	6	27.63	0.615776081
2012	7	27.46	0.572519084
2012	8	27.25	0.519083969
2012	9	27.37	0.549618321
2012	10	27.28	0.526717557
2012	11	27.1	0.480916031
2012	12	26.45	0.315521628
2013	1	26.15	0.239185751
2013	2	26.39	0.300254453
2013	3	26.96	0.445292621
2013	4	27.7	0.633587786
2013	5	27.83	0.666666667
2013	6	27.49	0.580152672
2013	7	27.1	0.480916031
2013	8	26.79	0.402035623
2013	9	26.71	0.381679389
2013	10	26.67	0.371501272
2013	11	26.63	0.361323155
2013	12	26.52	0.333333333
2014	1	26.12	0.231552163
2014	2	26.16	0.24173028
2014	3	26.89	0.427480916
2014	4	27.71	0.636132316
2014	5	28.01	0.712468193
2014	6	27.68	0.628498728
2014	7	27.28	0.526717557
2014	8	26.9	0.430025445
2014	9	27.03	0.463104326
2014	10	27.25	0.519083969
2014	11	27.52	0.58778626
2014	12	27.4	0.557251908
2015	1	27.21	0.508905852
2015	2	27.23	0.513994911
2015	3	27.77	0.651399491
2015	4	28.58	0.857506361
2015	5	28.82	0.918575064
2015	6	28.7	0.888040712
2015	7	28.5	0.837150127
2015	8	28.47	0.829516539
2015	9	28.62	0.867684478
2015	10	28.87	0.93129771
2015	11	29.14	1
2015	12	29.04	0.974554707
